Round,Date,Home Team,Home Score,Away Score,Away Team,Venue,Winning Team
1,Sunday 13 February,New South Wales Swifts,60,40,Adelaide Thunderbirds,"State Sports Centre, Sydney",New South Wales Swifts
1,Monday 14 February,Northern Mystics,51,34,Southern Steel,"Trusts Stadium, Auckland",Northern Mystics
2,Saturday 19 February,Central Pulse,44,54,Northern Mystics,"Te Rauparaha Arena, Porirua",Northern Mystics
2,Sunday 20 February,Adelaide Thunderbirds,47,65,Melbourne Vixens,"ETSA Park, Adelaide",Melbourne Vixens
2,Sunday 20 February,Waikato Bay of Plenty Magic,51,36,Southern Steel,"Energy Events Centre, Rotorua",Waikato Bay of Plenty Magic
2,Monday 21 February,Canterbury Tactix,48,54,West Coast Fever,"CBS Canterbury Arena, Christchurch",West Coast Fever
2,Monday 21 February,Queensland Firebirds,51,48,New South Wales Swifts,Brisbane Convention and Exhibition Centre,Queensland Firebirds
3,Thursday 24 February,Northern Mystics,39,45,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland",Waikato Bay of Plenty Magic
3,Thursday 24 February,West Coast Fever,53,72,Adelaide Thunderbirds,"Challenge Stadium, Perth",Adelaide Thunderbirds
3,Saturday 26 February,Central Pulse,43,45,Southern Steel,"Te Rauparaha Arena, Porirua",Southern Steel
3,Saturday 26 February,Queensland Firebirds,64,41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre,Queensland Firebirds
3,Sunday 27 February,New South Wales Swifts,45,49,Melbourne Vixens,"State Sports Centre, Sydney",Melbourne Vixens
3,Thursday 7 April,Canterbury Tactix,45,58,Northern Mystics,"Vector Arena, Auckland",Northern Mystics
3,Monday 28 February,Central Pulse,44,46,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington",Waikato Bay of Plenty Magic
3,Monday 28 February,West Coast Fever,38,62,Queensland Firebirds,"Challenge Stadium, Perth",Queensland Firebirds
4,Saturday 5 March,Adelaide Thunderbirds,51,41,Central Pulse,"ETSA Park, Adelaide",Adelaide Thunderbirds
4,Sunday 6 March,Queensland Firebirds,51,36,Southern Steel,Brisbane Convention and Exhibition Centre,Queensland Firebirds
4,Sunday 6 March,Northern Mystics,56,54,Melbourne Vixens,"Trusts Stadium, Auckland",Northern Mystics
4,Monday 7 March,Canterbury Tactix,56,63,Waikato Bay of Plenty Magic,"Energy Events Centre, Rotorua*",Waikato Bay of Plenty Magic
4,Monday 7 March,New South Wales Swifts,55,51,West Coast Fever,"State Sports Centre, Sydney",New South Wales Swifts
5,Saturday 12 March,Melbourne Vixens,70,39,West Coast Fever,"State Netball and Hockey Centre,Melbourne",Melbourne Vixens
5,Sunday 13 March,Adelaide Thunderbirds,42,64,Queensland Firebirds,"ETSA Park, Adelaide",Queensland Firebirds
5,Sunday 13 March,Waikato Bay of Plenty Magic,46,47,Northern Mystics,"Mystery Creek Events Centre, Hamilton",Northern Mystics
5,Monday 14 March,Southern Steel,50,44,Central Pulse,Invercargill ILT Velodrome,Southern Steel
5,Monday 14 March,New South Wales Swifts,54,45,Canterbury Tactix,"State Sports Centre, Sydney",New South Wales Swifts
6,Thursday 17 March,West Coast Fever,49,70,New South Wales Swifts,"Challenge Stadium, Perth",New South Wales Swifts
6,Saturday 19 March,West Coast Fever,50,47,Southern Steel,"Challenge Stadium, Perth",West Coast Fever
6,Sunday 20 March,New South Wales Swifts,53,57,Queensland Firebirds,"State Sports Centre, Sydney",Queensland Firebirds
6,Sunday 20 March,Central Pulse,46,43,Canterbury Tactix,"Arena Manawatu, Palmerston North",Central Pulse
6,Monday 21 March,Waikato Bay of Plenty Magic,53,41,Melbourne Vixens,"Mystery Creek Events Centre, Hamilton",Waikato Bay of Plenty Magic
6,Monday 21 March,Adelaide Thunderbirds,57,55,Northern Mystics,"ETSA Park, Adelaide",Adelaide Thunderbirds
7,Saturday 26 March,Northern Mystics,52,61,Queensland Firebirds,"Trusts Stadium, Auckland",Queensland Firebirds
7,Sunday 27 March,Melbourne Vixens,65,50,Canterbury Tactix,"Hisense Arena, Melbourne",Melbourne Vixens
7,Sunday 27 March,Central Pulse,43,48,New South Wales Swifts,"TSB Bank Arena, Wellington",New South Wales Swifts
7,Monday 28 March,Southern Steel,52,48,Adelaide Thunderbirds,Invercargill ILT Velodrome,Southern Steel
