Round,Date,Home Team,Home Score,Away Score,Away Team,Venue,Winning Team
1,Sunday 24 March,Queensland Firebirds,68,59,Southern Steel,Brisbane Convention and Exhibition Centre,Queensland Firebirds
1,Sunday 24 March,Adelaide Thunderbirds,49,42,Central Pulse,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
1,Sunday 24 March,Canterbury Tactix,46,69,Waikato Bay of Plenty Magic,"Trafalgar Centre, Nelson",Waikato Bay of Plenty Magic
1,Monday 25 March,Northern Mystics,46,60,Melbourne Vixens,"Trusts Stadium, Auckland",Melbourne Vixens
1,Monday 25 March,New South Wales Swifts,55,41,West Coast Fever,"State Sports Centre, Sydney",New South Wales Swifts
2,Saturday 30 March,Canterbury Tactix,56,75,Southern Steel,"CBS Canterbury Arena, Christchurch",Southern Steel
2,Sunday 31 March,Melbourne Vixens,58,44,Adelaide Thunderbirds,"Hisense Arena, Melbourne",Melbourne Vixens
2,Sunday 31 March,West Coast Fever,80,53,Northern Mystics,"Challenge Stadium, Perth",West Coast Fever
2,Sunday 31 March,Waikato Bay of Plenty Magic,61,35,New South Wales Swifts,"ASB Baypark Arena, Tauranga",Waikato Bay of Plenty Magic
2,Monday 1 April,Central Pulse,56,58,Queensland Firebirds,"Te Rauparaha Arena, Porirua",Queensland Firebirds
3,Saturday 6 April,Southern Steel,54,60,Adelaide Thunderbirds,"Lion Foundation Arena, Dunedin",Adelaide Thunderbirds
3,Sunday 7 April,West Coast Fever,57,51,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth",West Coast Fever
3,Sunday 7 April,Northern Mystics,51,72,Queensland Firebirds,"Trusts Stadium, Auckland",Queensland Firebirds
3,Monday 8 April,Central Pulse,55,49,New South Wales Swifts,"TSB Bank Arena, Wellington",Central Pulse
3,Monday 8 April,Melbourne Vixens,60,40,Canterbury Tactix,"Hisense Arena, Melbourne",Melbourne Vixens
4,Sunday 14 April,Adelaide Thunderbirds,72,46,West Coast Fever,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
4,Sunday 14 April,Central Pulse,59,56,Southern Steel,"Arena Manawatu, Palmerston North",Central Pulse
4,Monday 15 April,Canterbury Tactix,80,78,Northern Mystics,"CBS Canterbury Arena, Christchurch",Canterbury Tactix
4,Monday 15 April,New South Wales Swifts,53,61,Queensland Firebirds,Sydney Olympic Park Sports Centre,Queensland Firebirds
4,BYES:  Melbourne Vixens and Waikato Bay of Plenty Magic,,,,,,
5,Sunday 21 April,Adelaide Thunderbirds,39,38,Melbourne Vixens,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
5,Sunday 21 April,West Coast Fever,71,51,New South Wales Swifts,"Challenge Stadium, Perth",West Coast Fever
5,Sunday 21 April,Northern Mystics,69,68,Central Pulse,"Trusts Stadium, Auckland",Northern Mystics
5,Monday 22 April,Waikato Bay of Plenty Magic,65,45,Canterbury Tactix,"ASB Baypark Arena, Tauranga",Waikato Bay of Plenty Magic
5,BYES:  Queensland Firebirds and Southern Steel,,,,,,
6,Saturday 27 April,West Coast Fever,49,58,Melbourne Vixens,"Perth Arena, Perth",Melbourne Vixens
6,Sunday 28 April,Queensland Firebirds,53,54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre,Adelaide Thunderbirds
6,Sunday 28 April,Central Pulse,53,52,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington",Central Pulse
6,Monday 29 April,Southern Steel,67,52,Northern Mystics,"Stadium Southland Velodrome,Invercargill",Southern Steel
6,BYES:  New South Wales Swifts and Canterbury Tactix,,,,,,
7,Sunday 5 May,Queensland Firebirds,63,54,West Coast Fever,Brisbane Convention and Exhibition Centre,Queensland Firebirds
7,Sunday 5 May,Melbourne Vixens,52,30,Central Pulse,"Hisense Arena, Melbourne",Melbourne Vixens
7,Sunday 5 May,Northern Mystics,57,61,Canterbury Tactix,"Trusts Stadium, Auckland",Canterbury Tactix
7,Monday 6 May,Southern Steel,60,55,New South Wales Swifts,"Stadium Southland Velodrome,Invercargill",Southern Steel
7,Monday 6 May,Adelaide Thunderbirds,45,33,Waikato Bay of Plenty Magic,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
8,Saturday 11 May,Canterbury Tactix,51,76,Queensland Firebirds,"CBS Canterbury Arena, Christchurch",Queensland Firebirds
8,Sunday 12 May,New South Wales Swifts,42,50,Melbourne Vixens,Sydney Olympic Park Sports Centre,Melbourne Vixens
8,Sunday 12 May,West Coast Fever,47,49,Adelaide Thunderbirds,"Challenge Stadium, Perth",Adelaide Thunderbirds
8,Sunday 12 May,Northern Mystics,63,73,Southern Steel,"Trusts Stadium, Auckland",Southern Steel
8,Monday 13 May,Waikato Bay of Plenty Magic,53,49,Central Pulse,"Claudelands Arena, Hamilton",Waikato Bay of Plenty Magic
9,Saturday 18 May,Southern Steel,65,58,Waikato Bay of Plenty Magic,"Stadium Southland Velodrome,Invercargill",Southern Steel
9,Sunday 19 May,Melbourne Vixens,46,57,Queensland Firebirds,"Hisense Arena, Melbourne",Queensland Firebirds
9,Sunday 19 May,Adelaide Thunderbirds,50,48,New South Wales Swifts,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
9,Sunday 19 May,Canterbury Tactix,55,64,West Coast Fever,"Trafalgar Centre, Nelson",West Coast Fever
9,Monday 20 May,Central Pulse,63,48,Northern Mystics,"Te Rauparaha Arena, Porirua",Central Pulse
10,Sunday 26 May,New South Wales Swifts,63,44,Northern Mystics,Sydney Olympic Park Sports Centre,New South Wales Swifts
10,Sunday 26 May,Queensland Firebirds,62,65,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre,Waikato Bay of Plenty Magic
10,Sunday 26 May,Central Pulse,53,52,West Coast Fever,"TSB Bank Arena, Wellington",Central Pulse
10,Monday 27 May,Canterbury Tactix,58,62,Adelaide Thunderbirds,"Lion Foundation Arena, Dunedin",Adelaide Thunderbirds
10,Monday 27 May,Melbourne Vixens,58,52,Southern Steel,"Hisense Arena, Melbourne",Melbourne Vixens
11,Sunday 2 June,New South Wales Swifts,43,46,Adelaide Thunderbirds,"Allphones Arena, Sydney",Adelaide Thunderbirds
11,Sunday 2 June,Queensland Firebirds,47,53,Melbourne Vixens,Brisbane Convention and Exhibition Centre,Melbourne Vixens
11,Sunday 2 June,Waikato Bay of Plenty Magic,58,52,Southern Steel,"Energy Events Centre, Rotorua",Waikato Bay of Plenty Magic
11,Monday 3 June,Canterbury Tactix,45,62,Central Pulse,"CBS Canterbury Arena, Christchurch",Central Pulse
11,BYES:  West Coast Fever and Northern Mystics,,,,,,
12,Saturday 8 June,Melbourne Vixens,39,48,New South Wales Swifts,"Hisense Arena, Melbourne",New South Wales Swifts
12,Sunday 9 June,West Coast Fever,47,72,Queensland Firebirds,"Challenge Stadium, Perth",Queensland Firebirds
12,Sunday 9 June,Southern Steel,79,62,Canterbury Tactix,"Lion Foundation Arena, Dunedin",Southern Steel
12,Monday 10 June,Northern Mystics,50,60,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland",Waikato Bay of Plenty Magic
12,BYES:  Adelaide Thunderbirds and Central Pulse,,,,,,
13,Sunday 16 June,Queensland Firebirds,52,48,New South Wales Swifts,Brisbane Convention and Exhibition Centre,Queensland Firebirds
13,Sunday 16 June,Adelaide Thunderbirds,64,48,Northern Mystics,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
13,Sunday 16 June,Waikato Bay of Plenty Magic,56,51,Melbourne Vixens,"Claudelands Arena, Hamilton",Waikato Bay of Plenty Magic
13,Monday 17 June,Central Pulse,73,59,Canterbury Tactix,"Te Rauparaha Arena, Porirua",Central Pulse
13,Monday 17 June,West Coast Fever,68,56,Southern Steel,"Challenge Stadium, Perth",West Coast Fever
14,Sunday 23 June,Melbourne Vixens,69,39,West Coast Fever,"Hisense Arena, Melbourne",Melbourne Vixens
14,Sunday 23 June,Adelaide Thunderbirds,54,52,Queensland Firebirds,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
14,Sunday 23 June,Southern Steel,64,73,Central Pulse,"Stadium Southland Velodrome,Invercargill",Central Pulse
14,Monday 24 June,Waikato Bay of Plenty Magic,68,40,Northern Mystics,"ASB Baypark Arena, Tauranga",Waikato Bay of Plenty Magic
14,Monday 24 June,New South Wales Swifts,62,42,Canterbury Tactix,Sydney Olympic Park Sports Centre,New South Wales Swifts
15,Sunday 30 June,Adelaide Thunderbirds,49,39,Melbourne Vixens,"Netball SA Stadium, Adelaide",Adelaide Thunderbirds
15,Monday 1 July,Waikato Bay of Plenty Magic,50,53,Queensland Firebirds,"Claudelands Arena, Waikato",Queensland Firebirds
16,Sunday 7 July,Melbourne Vixens,46,50,Queensland Firebirds,"State Netball Hockey Centre, Melbourne",Queensland Firebirds
17,Sunday 14 July,Adelaide Thunderbirds,50,48,Queensland Firebirds,"Adelaide Entertainment Centre, Adelaide",Adelaide Thunderbirds
